"","M1","MCP1","TNFa","CASP1","LDH","GM-CSF","ALP","VEGFA","MPO","IL6","IL1b","CTSK","MMP-8","CAT"
"M1",1,0.826692987860424,0.78623935823938,0.845332500330577,0.786765491685661,0.796469776849686,0.8062472150943,0.727924078851008,0.799172485936782,0.808876977797834,0.849245701234742,0.56440082768989,0.820544749770481,-0.770340741598034
"MCP1",0.826692987860424,1,0.848623368194515,0.906677393390046,0.799881413841508,0.870467874114979,0.896277815948363,0.828461018592752,0.84725282023334,0.871911844850238,0.838309123193412,0.706123030040897,0.823329744211115,-0.70931366382689
"TNFa",0.78623935823938,0.848623368194515,1,0.925324008194976,0.802525247973592,0.828110558791555,0.876924124768626,0.875114198146456,0.844319344847455,0.876608189218307,0.842491831517062,0.657025201446182,0.83002697342143,-0.726301053923705
"CASP1",0.845332500330577,0.906677393390046,0.925324008194976,1,0.836814604662725,0.932586361125722,0.96690341087476,0.943773695142805,0.858071272891023,0.951959620344764,0.919141512975604,0.732276840758737,0.923174915147374,-0.81731989580881
"LDH",0.786765491685661,0.799881413841508,0.802525247973592,0.836814604662725,1,0.859105928273789,0.84775367618925,0.789215291408307,0.816018213297475,0.741022292643322,0.771334548121058,0.629290314504438,0.795572662689342,-0.737796794466356
"GM-CSF",0.796469776849686,0.870467874114979,0.828110558791555,0.932586361125722,0.859105928273789,1,0.940209866463158,0.871323717879306,0.787931113980729,0.895276317227171,0.863233576437513,0.738675463191797,0.902133700463359,-0.76736539299897
"ALP",0.8062472150943,0.896277815948363,0.876924124768626,0.96690341087476,0.84775367618925,0.940209866463158,1,0.948489800486714,0.88662988101866,0.968926620428363,0.926003784612421,0.739887161198655,0.929210362481663,-0.814215388676131
"VEGFA",0.727924078851008,0.828461018592752,0.875114198146456,0.943773695142805,0.789215291408307,0.871323717879306,0.948489800486714,1,0.89891824804255,0.940708405067137,0.880724296320979,0.785397249348031,0.914152795768519,-0.78536628505598
"MPO",0.799172485936782,0.84725282023334,0.844319344847455,0.858071272891023,0.816018213297475,0.787931113980729,0.88662988101866,0.89891824804255,1,0.865128752395823,0.865579314272037,0.648069306651711,0.851970625973319,-0.732634308448513
"IL6",0.808876977797834,0.871911844850238,0.876608189218307,0.951959620344764,0.741022292643322,0.895276317227171,0.968926620428363,0.940708405067137,0.865128752395823,1,0.921124529922604,0.778701633902604,0.918420751588831,-0.818456762523304
"IL1b",0.849245701234742,0.838309123193412,0.842491831517062,0.919141512975604,0.771334548121058,0.863233576437513,0.926003784612421,0.880724296320979,0.865579314272037,0.921124529922604,1,0.699941664689577,0.9593748758334,-0.893869705166719
"CTSK",0.56440082768989,0.706123030040897,0.657025201446182,0.732276840758737,0.629290314504438,0.738675463191797,0.739887161198655,0.785397249348031,0.648069306651711,0.778701633902604,0.699941664689577,1,0.759032039883023,-0.641053430695923
"MMP-8",0.820544749770481,0.823329744211115,0.83002697342143,0.923174915147374,0.795572662689342,0.902133700463359,0.929210362481663,0.914152795768519,0.851970625973319,0.918420751588831,0.9593748758334,0.759032039883023,1,-0.883203218583273
"CAT",-0.770340741598034,-0.70931366382689,-0.726301053923705,-0.81731989580881,-0.737796794466356,-0.76736539299897,-0.814215388676131,-0.78536628505598,-0.732634308448513,-0.818456762523304,-0.893869705166719,-0.641053430695923,-0.883203218583273,1
