"","Tb.Sp","MCP1","TNFa","CASP1","LDH","GM-CSF","MIP1a","HIF1a","ALP","BMP2","VEGFA","NTXI","COX2","MPO","IL6","IL17","IL1b","CTSK","MMP9","PECAM1","MMP-8"
"Tb.Sp",1,0.884416924664603,0.870868233294166,0.893595518148818,0.880288957688339,0.913312693498452,0.909184726522188,0.886480908152735,0.900928792569659,0.859649122807018,0.933952528379773,0.877645961046856,0.882352941176471,0.839009287925697,0.91068675016862,0.940144478844169,0.872934350099134,0.882352941176471,0.929824561403509,0.87248333774658,0.925696594427245
"MCP1",0.884416924664603,1,0.863636824476777,0.890496342941366,0.91124871001032,0.931888544891641,0.913312693498452,0.896800825593395,0.886480908152735,0.882352941176471,0.898864809081527,0.854930418525643,0.884416924664603,0.913312693498452,0.884873633667242,0.87203302373581,0.92871950383328,0.886480908152735,0.890608875128999,0.881776059687076,0.940144478844169
"TNFa",0.870868233294166,0.863636824476777,1,0.847983453981386,0.83471118920722,0.888430226136397,0.898760810161239,0.938017029455638,0.931818679040733,0.908058335783597,0.902893043771176,0.901808905956368,0.87190129169665,0.876033525306587,0.921963947407542,0.842975656427093,0.856256463288521,0.888430226136397,0.857438474061872,0.920930355538251,0.899793868563723
"CASP1",0.893595518148818,0.890496342941366,0.847983453981386,1,0.911157510991049,0.922521153418375,0.920455036613407,0.840909539622125,0.880165758916524,0.886364109331429,0.926653387028312,0.881137068570549,0.902893043771176,0.931818679040733,0.888889007590231,0.880165758916524,0.93329886246122,0.901859985368692,0.919421978210923,0.908010457172114,0.875000466904103
"LDH",0.880288957688339,0.91124871001032,0.83471118920722,0.911157510991049,1,0.849329205366357,0.87203302373581,0.882352941176471,0.874097007223942,0.878224974200207,0.843137254901961,0.898296454247958,0.931888544891641,0.902992776057791,0.879711010366966,0.884416924664603,0.938017029455638,0.915376676986584,0.900928792569659,0.91688189812895,0.869969040247678
"GM-CSF",0.913312693498452,0.931888544891641,0.888430226136397,0.922521153418375,0.849329205366357,1,0.905056759545924,0.876160990712074,0.92156862745098,0.900928792569659,0.954592363261094,0.897263929587903,0.845201238390093,0.909184726522188,0.91481684880884,0.880288957688339,0.876033525306587,0.892672858617131,0.890608875128999,0.855962943185698,0.940144478844169
"MIP1a",0.909184726522188,0.913312693498452,0.898760810161239,0.920455036613407,0.87203302373581,0.905056759545924,1,0.896800825593395,0.905056759545924,0.841073271413829,0.931888544891641,0.865255665126194,0.898864809081527,0.87203302373581,0.850800319885422,0.880288957688339,0.936983971053154,0.869969040247678,0.876160990712074,0.91688189812895,0.886480908152735
"HIF1a",0.886480908152735,0.896800825593395,0.938017029455638,0.840909539622125,0.882352941176471,0.876160990712074,0.896800825593395,1,0.919504643962848,0.909184726522188,0.882352941176471,0.906556651528399,0.919504643962848,0.857585139318885,0.911719274828675,0.894736842105263,0.849174006841998,0.894736842105263,0.900928792569659,0.889003732307462,0.913312693498452
"ALP",0.900928792569659,0.886480908152735,0.931818679040733,0.880165758916524,0.874097007223942,0.92156862745098,0.905056759545924,0.919504643962848,1,0.913312693498452,0.894736842105263,0.893133830947683,0.884416924664603,0.87203302373581,0.931337243369722,0.863777089783282,0.860537649269324,0.834881320949432,0.884416924664603,0.909654225508564,0.907120743034056
"BMP2",0.859649122807018,0.882352941176471,0.908058335783597,0.886364109331429,0.878224974200207,0.900928792569659,0.841073271413829,0.909184726522188,0.913312693498452,1,0.869969040247678,0.883841109007186,0.847265221878225,0.898864809081527,0.918946947449061,0.915376676986584,0.848140948439514,0.896800825593395,0.927760577915377,0.883841109007186,0.87203302373581
"VEGFA",0.933952528379773,0.898864809081527,0.902893043771176,0.926653387028312,0.843137254901961,0.954592363261094,0.931888544891641,0.882352941176471,0.894736842105263,0.869969040247678,1,0.897263929587903,0.859649122807018,0.859649122807018,0.91068675016862,0.878224974200207,0.888430226136397,0.91124871001032,0.894736842105263,0.889003732307462,0.91124871001032
"NTXI",0.877645961046856,0.854930418525643,0.901808905956368,0.881137068570549,0.898296454247958,0.897263929587903,0.865255665126194,0.906556651528399,0.893133830947683,0.883841109007186,0.897263929587903,1,0.892101306287627,0.899328978908013,0.915289256198347,0.899328978908013,0.897157742544559,0.934434817349888,0.83221487600443,0.868801652892562,0.915849373468895
"COX2",0.882352941176471,0.884416924664603,0.87190129169665,0.902893043771176,0.931888544891641,0.845201238390093,0.898864809081527,0.919504643962848,0.884416924664603,0.847265221878225,0.859649122807018,0.892101306287627,1,0.905056759545924,0.899328978908013,0.87203302373581,0.919421978210923,0.855521155830753,0.91124871001032,0.931337243369722,0.905056759545924
"MPO",0.839009287925697,0.913312693498452,0.876033525306587,0.931818679040733,0.902992776057791,0.909184726522188,0.87203302373581,0.857585139318885,0.87203302373581,0.898864809081527,0.859649122807018,0.899328978908013,0.905056759545924,1,0.918946947449061,0.87203302373581,0.940083146260607,0.91124871001032,0.855521155830753,0.863190615806084,0.915376676986584
"IL6",0.91068675016862,0.884873633667242,0.921963947407542,0.888889007590231,0.879711010366966,0.91481684880884,0.850800319885422,0.911719274828675,0.931337243369722,0.918946947449061,0.91068675016862,0.915289256198347,0.899328978908013,0.918946947449061,1,0.879711010366966,0.884237844178422,0.897263929587903,0.885906158327297,0.878099173553719,0.949922687250714
"IL17",0.940144478844169,0.87203302373581,0.842975656427093,0.880165758916524,0.884416924664603,0.880288957688339,0.880288957688339,0.894736842105263,0.863777089783282,0.915376676986584,0.878224974200207,0.899328978908013,0.87203302373581,0.87203302373581,0.879711010366966,1,0.875000466904103,0.905056759545924,0.92156862745098,0.82808477736421,0.888544891640867
"IL1b",0.872934350099134,0.92871950383328,0.856256463288521,0.93329886246122,0.938017029455638,0.876033525306587,0.936983971053154,0.849174006841998,0.860537649269324,0.848140948439514,0.888430226136397,0.897157742544559,0.919421978210923,0.940083146260607,0.884237844178422,0.875000466904103,1,0.90392610217366,0.849174006841998,0.913695212453214,0.901859985368692
"CTSK",0.882352941176471,0.886480908152735,0.888430226136397,0.901859985368692,0.915376676986584,0.892672858617131,0.869969040247678,0.894736842105263,0.834881320949432,0.896800825593395,0.91124871001032,0.934434817349888,0.855521155830753,0.91124871001032,0.897263929587903,0.905056759545924,0.90392610217366,1,0.86171310629515,0.851832844545478,0.880288957688339
"MMP9",0.929824561403509,0.890608875128999,0.857438474061872,0.919421978210923,0.900928792569659,0.890608875128999,0.876160990712074,0.900928792569659,0.884416924664603,0.927760577915377,0.894736842105263,0.83221487600443,0.91124871001032,0.855521155830753,0.885906158327297,0.92156862745098,0.849174006841998,0.86171310629515,1,0.91275179948873,0.874097007223942
"PECAM1",0.87248333774658,0.881776059687076,0.920930355538251,0.908010457172114,0.91688189812895,0.855962943185698,0.91688189812895,0.889003732307462,0.909654225508564,0.883841109007186,0.889003732307462,0.868801652892562,0.931337243369722,0.863190615806084,0.878099173553719,0.82808477736421,0.913695212453214,0.851832844545478,0.91275179948873,1,0.86835323910636
"MMP-8",0.925696594427245,0.940144478844169,0.899793868563723,0.875000466904103,0.869969040247678,0.940144478844169,0.886480908152735,0.913312693498452,0.907120743034056,0.87203302373581,0.91124871001032,0.915849373468895,0.905056759545924,0.915376676986584,0.949922687250714,0.888544891640867,0.901859985368692,0.880288957688339,0.874097007223942,0.86835323910636,1
