"","Feature","Gain","Cover","Frequency"
"1","f1",0.344391518691678,0.265899163282281,0.243243243243243
"2","f0",0.27662483783558,0.208497664613831,0.189189189189189
"3","f2",0.183566950156454,0.150026523733011,0.162162162162162
"4","f16",0.0840965122776898,0.118627421924613,0.108108108108108
"5","f4",0.0370468213869325,0.0276036580056435,0.027027027027027
"6","f3",0.0297516924393371,0.0370037106354834,0.0405405405405405
"7","f17",0.016982316048758,0.0407380533952489,0.0405405405405405
"8","f12",0.0166953474115996,0.0664434856611117,0.0810810810810811
"9","f13",0.00592943038315904,0.00942475414729263,0.0135135135135135
"10","f5",0.00218950542206952,0.0216811562567364,0.027027027027027
"11","f6",0.00194755910782286,0.0235991862046895,0.027027027027027
"12","f14",0.000711465751245373,0.0107861848539884,0.0135135135135135
"13","f18",3.77561293803181e-05,0.00991393197270168,0.0135135135135135
"14","f10",2.82869582933384e-05,0.00975510531336672,0.0135135135135135
