"","Factor","P_value","FDR"
"1","MCP1_t",6.96713475013579e-05,8.86726240926373e-05
"2","TNFa_t",0.000179985906202002,0.000209983557235669
"3","CASP1_t",1.50214080444347e-07,4.20599425244171e-07
"4","LDH_t",6.80039772372032e-05,8.86726240926373e-05
"5","GM-CSF_t",2.8926296466826e-07,6.74946917559272e-07
"6","ALP_t",1.46316606772544e-07,4.20599425244171e-07
"7","VEGFA_t",6.89166187089365e-06,1.20604082740639e-05
"8","MPO_t",0.000452803097557257,0.000487634105061661
"9","IL6_t",1.22664922818636e-06,2.45329845637271e-06
"10","IL1b_t",1.54680199077733e-08,1.08276139354413e-07
"12","MMP-8_t",1.94786583761479e-10,2.7270121726607e-09
"13","CAT_t",1.171792576115e-07,4.20599425244171e-07
"14","CAT_x",1.78551000486817e-05,2.7774600075727e-05
