"","Factor","P_value","FDR"
"MIP1a_t","MIP1a_t",0.00051109893883943,0.000622207403804524
"BMP2_t","BMP2_t",0.000760688548701168,0.000851971174545308
"NTXI_t","NTXI_t",0.000627184999487235,0.000731715832735107
"COX2_t","COX2_t",0.00051109893883943,0.000622207403804524
"IL17_t","IL17_t",0.000911881965554516,0.000982026732135633
"PECAM1_t","PECAM1_t",0.00051109893883943,0.000622207403804524
"MCP1_x","MCP1_x",0.00051109893883943,0.000622207403804524
"TNFa_x","TNFa_x",0.000503149837801859,0.000622207403804524
"CASP1_x","CASP1_x",0.000503149837801859,0.000622207403804524
"LDH_x","LDH_x",0.00051109893883943,0.000622207403804524
"GM-CSF_x","GM-CSF_x",0.00051109893883943,0.000622207403804524
"MIP1a_x","MIP1a_x",0.00051109893883943,0.000622207403804524
"HIF1a_x","HIF1a_x",0.00051109893883943,0.000622207403804524
"ALP_x","ALP_x",0.00051109893883943,0.000622207403804524
"BMP2_x","BMP2_x",0.00051109893883943,0.000622207403804524
"VEGFA_x","VEGFA_x",0.00051109893883943,0.000622207403804524
"NTXI_x","NTXI_x",0.000507112918871321,0.000622207403804524
"COX2_x","COX2_x",0.00051109893883943,0.000622207403804524
"MPO_x","MPO_x",0.00051109893883943,0.000622207403804524
"IL6_x","IL6_x",0.000507112918871321,0.000622207403804524
"IL17_x","IL17_x",0.00051109893883943,0.000622207403804524
"IL1b_x","IL1b_x",0.000503149837801859,0.000622207403804524
"CTSK_x","CTSK_x",0.00051109893883943,0.000622207403804524
"MMP9_x","MMP9_x",0.00051109893883943,0.000622207403804524
"PECAM1_x","PECAM1_x",0.000507112918871321,0.000622207403804524
"MMP-8_x","MMP-8_x",0.00051109893883943,0.000622207403804524
